id,location,date,new_cases,new_deaths,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,female_smokers,male_smokers,gdp_per_capita,handwashing_facilities,hospital_beds_per_thousand
134,Albania,2020-03-31,11,2,84.26,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
135,Albania,2020-04-01,20,3,84.26,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
136,Albania,2020-04-02,16,0,84.26,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
137,Albania,2020-04-03,18,1,84.26,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
138,Albania,2020-04-04,27,1,84.26,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
139,Albania,2020-04-05,29,2,84.26,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
140,Albania,2020-04-06,28,2,84.26,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
141,Albania,2020-04-07,16,1,84.26,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
142,Albania,2020-04-08,6,0,84.26,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
143,Albania,2020-04-09,17,0,84.26,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
144,Albania,2020-04-10,9,1,84.26,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
145,Albania,2020-04-11,7,0,84.26,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
146,Albania,2020-04-12,17,0,84.26,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
147,Albania,2020-04-13,13,0,84.26,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
148,Albania,2020-04-14,21,0,84.26,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
149,Albania,2020-04-15,8,1,84.26,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
150,Albania,2020-04-16,19,1,84.26,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
151,Albania,2020-04-17,24,1,84.26,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
152,Albania,2020-04-18,21,0,89.81,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
153,Albania,2020-04-19,9,0,89.81,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
154,Albania,2020-04-20,14,0,89.81,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
155,Albania,2020-04-21,22,0,89.81,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
156,Albania,2020-04-22,25,0,89.81,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
157,Albania,2020-04-23,25,1,89.81,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
158,Albania,2020-04-24,29,0,89.81,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
159,Albania,2020-04-25,15,0,89.81,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
160,Albania,2020-04-26,34,0,89.81,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
161,Albania,2020-04-27,14,1,89.81,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
162,Albania,2020-04-28,10,0,89.81,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
163,Albania,2020-04-29,14,2,89.81,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
164,Albania,2020-04-30,16,1,89.81,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
165,Algeria,2019-12-31,0,0,,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
166,Algeria,2020-01-01,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
167,Algeria,2020-01-02,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
168,Algeria,2020-01-03,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
169,Algeria,2020-01-04,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
170,Algeria,2020-01-05,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
171,Algeria,2020-01-06,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
172,Algeria,2020-01-07,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
173,Algeria,2020-01-08,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
174,Algeria,2020-01-09,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
175,Algeria,2020-01-10,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
176,Algeria,2020-01-11,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
177,Algeria,2020-01-12,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
